land_use,management,weight,filter_attribute,condition_schedule,operation,op_data1,op_data2,op_data3
agrl20_lum,,,,"(md >= 0320) * (md <= 0330) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",tillage,landlevl,,
agrl20_lum,,,,"(md >= 0401) * (md <= 0410) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",plant,lupn,,
agrl20_lum,,,,"(md >= 0820) * (md <= 0830) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",harvest_only,lupn,grain,
agrl20_lum,,,,,kill_only,lupn,,
agrl20_lum,,,,"(md >= 0320) * (md <= 0330) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op) + 1))",tillage,landlevl,,
agrl20_lum,,,,"(md >= 0401) * (md <= 0410) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",plant,lupn,,
agrl20_lum,,,,"(md >= 0820) * (md <= 0830) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",harvest_only,lupn,grain,
agrl20_lum,,,,,kill_only,lupn,,
agrl20_lum,,,,"(md >= 0320) * (md <= 0330) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op) + 1))",tillage,landlevl,,
agrl20_lum,,,,"(md >= 0401) * (md <= 0410) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",plant,lupn,,
agrl20_lum,,,,"(md >= 0820) * (md <= 0830) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",harvest_only,lupn,grain,
agrl20_lum,,,,,kill_only,lupn,,
agrl20_lum,,,,"(md >= 0320) * (md <= 0330) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op) + 1))",tillage,landlevl,,
agrl20_lum,,,,"(md >= 0401) * (md <= 0410) * (1 - w_log(pcp, 0, 7)) * (1 - w_log(api, 5, 20)) * (year == (year(prev_op)))",plant,lupn,,
