"row_number","col","year","from","to"
102,"y_1992",1992,"alfa","oats"
102,"y_1995",1995,"alfa","oats"
102,"y_1998",1998,"alfa","oats"
102,"y_2001",2001,"alfa","oats"
102,"y_2004",2004,"alfa","oats"
102,"y_2007",2007,"alfa","oats"
102,"y_2010",2010,"alfa","oats"
102,"y_2013",2013,"alfa","oats"
102,"y_2016",2016,"alfa","oats"
102,"y_2019",2019,"alfa","oats"
102,"y_2022",2022,"alfa","oats"
103,"y_1992",1992,"alfa","oats"
103,"y_1995",1995,"alfa","oats"
103,"y_1998",1998,"alfa","oats"
103,"y_2001",2001,"alfa","oats"
103,"y_2004",2004,"alfa","oats"
103,"y_2007",2007,"alfa","oats"
103,"y_2010",2010,"alfa","oats"
103,"y_2013",2013,"alfa","oats"
103,"y_2016",2016,"alfa","oats"
103,"y_2019",2019,"alfa","oats"
103,"y_2022",2022,"alfa","oats"
104,"y_1992",1992,"alfa","oats"
104,"y_1997",1997,"alfa","oats"
104,"y_2002",2002,"alfa","oats"
104,"y_2007",2007,"alfa","oats"
104,"y_2012",2012,"alfa","oats"
104,"y_2017",2017,"alfa","oats"
104,"y_2022",2022,"alfa","oats"
105,"y_1992",1992,"alfa","oats"
105,"y_1997",1997,"alfa","oats"
105,"y_2002",2002,"alfa","oats"
105,"y_2007",2007,"alfa","oats"
105,"y_2012",2012,"alfa","oats"
105,"y_2017",2017,"alfa","oats"
105,"y_2022",2022,"alfa","oats"
106,"y_1992",1992,"alfa","oats"
106,"y_1996",1996,"alfa","oats"
106,"y_2001",2001,"alfa","oats"
106,"y_2006",2006,"alfa","oats"
106,"y_2011",2011,"alfa","oats"
106,"y_2016",2016,"alfa","oats"
106,"y_2021",2021,"alfa","oats"
130,"y_1993",1993,"oats","csil"
130,"y_1998",1998,"oats","csil"
130,"y_2003",2003,"oats","csil"
130,"y_2008",2008,"oats","csil"
130,"y_2013",2013,"oats","csil"
130,"y_2018",2018,"oats","csil"
130,"y_2023",2023,"oats","csil"
139,"y_1993",1993,"fesc_mgt","oats"
139,"y_1998",1998,"fesc_mgt","oats"
139,"y_2003",2003,"fesc_mgt","oats"
139,"y_2008",2008,"fesc_mgt","oats"
139,"y_2013",2013,"fesc_mgt","oats"
139,"y_2018",2018,"fesc_mgt","oats"
139,"y_2023",2023,"fesc_mgt","oats"
140,"y_1993",1993,"fesc_mgt","oats"
140,"y_1998",1998,"fesc_mgt","oats"
140,"y_2003",2003,"fesc_mgt","oats"
140,"y_2008",2008,"fesc_mgt","oats"
140,"y_2013",2013,"fesc_mgt","oats"
140,"y_2018",2018,"fesc_mgt","oats"
140,"y_2023",2023,"fesc_mgt","oats"
171,"y_1992",1992,"fesc_mgt","oats"
171,"y_1997",1997,"fesc_mgt","oats"
171,"y_2002",2002,"fesc_mgt","oats"
171,"y_2007",2007,"fesc_mgt","oats"
171,"y_2012",2012,"fesc_mgt","oats"
171,"y_2017",2017,"fesc_mgt","oats"
171,"y_2022",2022,"fesc_mgt","oats"
172,"y_1992",1992,"fesc_mgt","oats"
172,"y_1997",1997,"fesc_mgt","oats"
172,"y_2002",2002,"fesc_mgt","oats"
172,"y_2007",2007,"fesc_mgt","oats"
172,"y_2012",2012,"fesc_mgt","oats"
172,"y_2017",2017,"fesc_mgt","oats"
172,"y_2022",2022,"fesc_mgt","oats"
173,"y_1992",1992,"fesc_mgt","oats"
173,"y_1996",1996,"fesc_mgt","oats"
173,"y_2001",2001,"fesc_mgt","oats"
173,"y_2006",2006,"fesc_mgt","oats"
173,"y_2011",2011,"fesc_mgt","oats"
173,"y_2016",2016,"fesc_mgt","oats"
173,"y_2021",2021,"fesc_mgt","oats"
193,"y_1995",1995,"oats","csil"
193,"y_2000",2000,"oats","csil"
193,"y_2005",2005,"oats","csil"
193,"y_2010",2010,"oats","csil"
193,"y_2015",2015,"oats","csil"
193,"y_2020",2020,"oats","csil"
195,"y_1992",1992,"oats","csil"
195,"y_1996",1996,"oats","csil"
195,"y_2001",2001,"oats","csil"
195,"y_2006",2006,"oats","csil"
195,"y_2011",2011,"oats","csil"
195,"y_2016",2016,"oats","csil"
195,"y_2021",2021,"oats","csil"
196,"y_1992",1992,"oats","csil"
196,"y_1997",1997,"oats","csil"
196,"y_2002",2002,"oats","csil"
196,"y_2007",2007,"oats","csil"
196,"y_2012",2012,"oats","csil"
196,"y_2017",2017,"oats","csil"
196,"y_2022",2022,"oats","csil"
197,"y_1992",1992,"oats","csil"
197,"y_1995",1995,"oats","csil"
197,"y_1998",1998,"oats","csil"
197,"y_2001",2001,"oats","csil"
197,"y_2004",2004,"oats","csil"
197,"y_2007",2007,"oats","csil"
197,"y_2010",2010,"oats","csil"
197,"y_2013",2013,"oats","csil"
197,"y_2016",2016,"oats","csil"
197,"y_2019",2019,"oats","csil"
197,"y_2022",2022,"oats","csil"
198,"y_1992",1992,"oats","csil"
198,"y_1997",1997,"oats","csil"
198,"y_2002",2002,"oats","csil"
198,"y_2007",2007,"oats","csil"
198,"y_2012",2012,"oats","csil"
198,"y_2017",2017,"oats","csil"
198,"y_2022",2022,"oats","csil"
199,"y_1992",1992,"oats","csil"
199,"y_1996",1996,"oats","csil"
199,"y_2001",2001,"oats","csil"
199,"y_2006",2006,"oats","csil"
199,"y_2011",2011,"oats","csil"
199,"y_2016",2016,"oats","csil"
199,"y_2021",2021,"oats","csil"
200,"y_1992",1992,"oats","csil"
200,"y_1996",1996,"oats","csil"
200,"y_2001",2001,"oats","csil"
200,"y_2006",2006,"oats","csil"
