name,numb_ops,numb_auto,op_typ,mon,day,hu_sch,op_data1,op_data2,op_data3
agrl1007_mgt_144_1,124,0,till,5,23,0,landlevl,null,0
agrl1007_mgt_144_1,124,0,fert,5,23,0,elem_n,broadcast,40
agrl1007_mgt_144_1,124,0,fert,5,23,0,elem_p,broadcast,13
agrl1007_mgt_144_1,124,0,plnt,5,23,0,buck,null,0
agrl1007_mgt_144_1,124,0,harv,9,25,0,buck,grain,0
agrl1007_mgt_144_1,124,0,kill,9,25,0,buck,null,0
agrl1007_mgt_144_1,124,0,skip,0,0,0,null,null,0
agrl1007_mgt_144_1,124,0,till,3,30,0,landlevl,null,0
agrl1007_mgt_144_1,124,0,plnt,4,3,0,lupn,null,0
agrl1007_mgt_144_1,124,0,harv,8,28,0,lupn,grain,0
agrl1007_mgt_144_1,124,0,kill,8,28,0,lupn,null,0
agrl1007_mgt_144_1,124,0,skip,0,0,0,null,null,0
agrl1007_mgt_144_1,124,0,till,5,23,0,landlevl,null,0
agrl1007_mgt_144_1,124,0,fert,5,23,0,elem_n,broadcast,40
agrl1007_mgt_144_1,124,0,fert,5,23,0,elem_p,broadcast,13
agrl1007_mgt_144_1,124,0,plnt,5,23,0,buck,null,0
agrl1007_mgt_144_1,124,0,harv,9,19,0,buck,grain,0
agrl1007_mgt_144_1,124,0,kill,9,19,0,buck,null,0
agrl1007_mgt_144_1,124,0,skip,0,0,0,null,null,0
agrl1007_mgt_144_1,124,0,till,3,22,0,landlevl,null,0
agrl1007_mgt_144_1,124,0,plnt,4,5,0,lupn,null,0
agrl1007_mgt_144_1,124,0,harv,8,22,0,lupn,grain,0
agrl1007_mgt_144_1,124,0,kill,8,22,0,lupn,null,0
agrl1007_mgt_144_1,124,0,till,9,1,0,landlevl,null,0
agrl1007_mgt_144_1,124,0,fert,9,17,0,elem_n,broadcast,30
agrl1007_mgt_144_1,124,0,plnt,9,27,0,rye,null,0
agrl1007_mgt_144_1,124,0,skip,0,0,0,null,null,0
agrl1007_mgt_144_1,124,0,fert,3,23,0,elem_n,broadcast,60
agrl1007_mgt_144_1,124,0,harv,7,29,0,rye,grain,0
