SOIL_ID,SNAM
1,pl
2,ps_pl
3,ps
4,pgl__gl
5,ps__pl
6,gl
7,pgl
9,Tn
10,M_pl
11,pgl_gl
12,plz
13,glp
14,pgm_gl
15,pgm__gl
16,pls
17,W
18,ps__gl
22,pgl_pl
23,pgmp__gl
25,gl_gs
27,pli
28,pgl__pl
29,Tn__pl
31,F-plz
33,pglp__gl
34,pgl_ps__gl
40,F
44,E-mt
47,pgl__gs
49,gc
53,pgmp_gl
54,pgl_ps
59,pgl_ps__pl
60,ms
62,pgmp
64,pgl__ps
66,gs_gc
71,pgm
77,pgm__pl
83,glp_gs
86,glp__gs
96,plz__pli
101,pgm_pl
102,pgl__pgm
103,pgk
110,E-mt_pl
114,pgm_pgl
120,gl_pl
122,M_gl
125,z
129,ps_zp
139,gl__pl
143,Tn_pgl
150,pgl_pgm
151,ps__pgl
152,ps_pgl
174,ps_pli
181,E-mt__pgl
