date,value
11/1/1960,0.40614642
11/2/1960,0.3587517
11/3/1960,0.3488778
11/4/1960,0.3422952
11/5/1960,0.3422952
11/6/1960,0.3455865
11/7/1960,0.3258387
11/8/1960,0.3324213
11/9/1960,0.3093822
11/10/1960,0.3027996
11/11/1960,0.31859784
11/12/1960,0.31859784
11/13/1960,0.31859784
11/14/1960,0.31859784
11/15/1960,0.31859784
11/16/1960,0.35282736
11/17/1960,0.35282736
11/18/1960,0.35282736
11/19/1960,0.31859784
11/20/1960,0.31859784
11/21/1960,0.31859784
11/22/1960,0.35282736
11/23/1960,0.35282736
11/24/1960,0.35282736
11/25/1960,0.35282736
11/26/1960,0.31859784
11/27/1960,0.31859784
11/28/1960,0.35282736
11/29/1960,0.35282736
11/30/1960,0.35282736
12/1/1960,0.31859784
12/2/1960,0.31859784
12/3/1960,0.31859784
12/4/1960,0.40417164
12/5/1960,0.31859784
12/6/1960,0.31859784
12/7/1960,0.31859784
12/8/1960,0.31859784
12/9/1960,0.35282736
12/10/1960,0.35282736
12/11/1960,0.31859784
12/12/1960,0.28700136
12/13/1960,0.28700136
12/14/1960,0.28700136
12/15/1960,0.28700136
12/16/1960,0.28700136
12/17/1960,0.31859784
12/18/1960,0.31859784
12/19/1960,0.31859784
12/20/1960,0.31859784
12/21/1960,0.31859784
12/22/1960,0.31859784
12/23/1960,0.35282736
12/24/1960,0.31859784
12/25/1960,0.31859784
12/26/1960,0.31859784
12/27/1960,0.35282736
12/28/1960,0.35282736
12/29/1960,0.25540488
12/30/1960,0.25540488
12/31/1960,0.25540488
1/1/1961,0.28700136
1/2/1961,0.28700136
1/3/1961,0.31859784
1/4/1961,0.31859784
1/5/1961,0.28700136
1/6/1961,0.28700136
1/7/1961,0.28700136
1/8/1961,0.31859784
1/9/1961,0.31859784
1/10/1961,0.35282736
1/11/1961,0.31859784
1/12/1961,0.31859784
1/13/1961,0.31859784
1/14/1961,0.31859784
1/15/1961,0.35282736
1/16/1961,0.35282736
1/17/1961,0.31859784
1/18/1961,0.17707194
1/19/1961,0.25540488
1/20/1961,0.21525102
1/21/1961,0.21525102
1/22/1961,0.21525102
1/23/1961,0.2172258
1/24/1961,0.2172258
1/25/1961,0.2172258
1/26/1961,0.22973274
1/27/1961,0.22973274
1/28/1961,0.22446666
1/29/1961,0.22446666
1/30/1961,0.25540488
1/31/1961,0.28700136
2/1/1961,0.28700136
2/2/1961,0.28700136
2/3/1961,0.28700136
2/4/1961,0.28700136
2/5/1961,0.31859784
2/6/1961,0.31859784
2/7/1961,0.31859784
2/8/1961,0.31859784
2/9/1961,0.31859784
2/10/1961,0.31859784
2/11/1961,0.35282736
2/12/1961,0.31859784
2/13/1961,0.31859784
2/14/1961,0.35282736
2/15/1961,0.35282736
2/16/1961,0.28700136
2/17/1961,0.28700136
2/18/1961,0.28700136
2/19/1961,0.25540488
2/20/1961,0.25540488
2/21/1961,0.25540488
2/22/1961,0.28700136
2/23/1961,0.28700136
2/24/1961,0.28700136
2/25/1961,0.28700136
2/26/1961,0.31859784
2/27/1961,0.31859784
2/28/1961,0.31859784
3/1/1961,0.35282736
3/2/1961,0.35282736
3/3/1961,0.35282736
3/4/1961,0.35282736
3/5/1961,0.35282736
3/6/1961,0.31859784
3/7/1961,0.31859784
3/8/1961,0.31859784
3/9/1961,0.31859784
3/10/1961,0.31859784
3/11/1961,0.31859784
3/12/1961,0.31859784
3/13/1961,0.31859784
3/14/1961,0.3357126
3/15/1961,0.35282736
3/16/1961,0.31859784
3/17/1961,0.31859784
3/18/1961,0.31859784
3/19/1961,0.31859784
3/20/1961,0.31859784
3/21/1961,0.35282736
3/22/1961,0.31859784
3/23/1961,0.28700136
3/24/1961,0.28700136
3/25/1961,0.28700136
3/26/1961,0.28700136
3/27/1961,0.31859784
3/28/1961,0.28700136
3/29/1961,0.28700136
3/30/1961,0.28700136
3/31/1961,0.28700136
4/1/1961,0.25540488
4/2/1961,0.28700136
4/3/1961,0.31859784
4/4/1961,0.31859784
4/5/1961,0.31859784
4/6/1961,0.31859784
4/7/1961,0.28700136
4/8/1961,0.25540488
4/9/1961,0.25540488
4/10/1961,0.25540488
4/11/1961,0.25540488
4/12/1961,0.25540488
4/13/1961,0.28700136
4/14/1961,0.25540488
4/15/1961,0.25540488
4/16/1961,0.28700136
4/17/1961,0.28700136
4/18/1961,0.25540488
4/19/1961,0.25540488
4/20/1961,0.25540488
4/21/1961,0.25540488
4/22/1961,0.25540488
4/23/1961,0.25540488
4/24/1961,0.25540488
4/25/1961,0.25540488
4/26/1961,0.25540488
4/27/1961,0.25540488
4/28/1961,0.25540488
4/29/1961,0.25540488
4/30/1961,0.25540488
5/1/1961,0.25540488
5/2/1961,0.25540488
5/3/1961,0.25540488
5/4/1961,0.28700136
5/5/1961,0.25540488
5/6/1961,0.25540488
5/7/1961,0.25540488
5/8/1961,0.25540488
5/9/1961,0.28700136
5/10/1961,0.28700136
5/11/1961,0.3027996
5/12/1961,0.28700136
5/13/1961,0.28700136
5/14/1961,0.3027996
5/15/1961,0.3027996
5/16/1961,0.28700136
5/17/1961,0.28700136
5/18/1961,0.28700136
5/19/1961,0.28700136
5/20/1961,0.28700136
5/21/1961,0.28700136
5/22/1961,0.28700136
5/23/1961,0.28700136
5/24/1961,0.28700136
5/25/1961,0.28700136
5/26/1961,0.28700136
5/27/1961,0.28700136
5/28/1961,0.25540488
5/29/1961,0.25540488
5/30/1961,0.22446666
5/31/1961,0.23960664
